outcome,outcome_label,panel,spec,treatment,n_first_stage,first_stage_coef,first_stage_pval,n_outcome,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
Y_gdp_growth,PWT,growth,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,1179,-0.059885684413349904,0.03090805298367139,0.052678991690828125,11.904785732331632,42.97355321710126,0.7817602460294477,16.931327696439002
Y_gdp_growth_wb,World Bank,growth,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,1204,-0.04411933069393768,0.028692136712629858,0.12412682570182045,11.958922927880414,47.32093337753748,0.8004849731103911,16.933327725875028
Y_gdp_growth_imf,IMF WEO,growth,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,919,-0.051151476216619515,0.025604335016802107,0.04574200849824299,1.7680531793915792,3.4193532601695766,0.605105623029657,18.566667178382453
Y_inflation,"CPI, cumulative log",inflation,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,1097,-0.04605268139537144,0.23193532486303947,0.8426082839674014,6.089706929041156,23.19659279416917,0.7929160024980554,23.51393579523233
Y_unemployment,Unemployment rate,unemployment,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,854,0.38176079960490616,0.6009708420778904,0.5252718100511453,-10.86650711847199,15.562856763901731,0.4850312127152877,26.483984102802083
Y_trade_pct_gdp,Trade / GDP,trade,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,1082,-1.0888249780448351,2.9652255661102322,0.7134713107740982,-416.55522203281726,1058.9871282631586,0.6940591559736236,15.862989393622767
Y_top10_share,Top-10% income share,top10,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,1116,-0.8132372866655648,0.6097836691938822,0.18231896674226003,19.048762249355267,31.49419780139264,0.545289287027483,19.452425095543934
Y_gini_disp,Disposable,gini,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,946,0.5977329099672477,0.33446796173367654,0.07391880767614634,-7.175893861001916,7.375408783551925,0.33057883458419174,20.989017080852133
Y_gini_mkt,Market,gini,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,946,0.6893274212783033,0.3632437110813697,0.0577356739897318,-8.178623166700705,7.7915898142294715,0.29386838044812896,22.094009933200795
Y_debt,Debt / GDP,fiscal,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,1165,11.975880702171214,14.458781212478934,0.40751345824375806,-3672.1614098427845,14664.940612201992,0.8022748511200395,19.337481653778433
Y_deficit,Deficit / GDP,fiscal,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,1017,1.84576199934933,1.1568714428133693,0.11060556670248319,-68.650466797410985,108.34770919092101,0.5263337175781337,15.392586453438847
Y_checks_balances,Checks & balances,institutions,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,1229,0.00441713124513991,0.01862173307523405,0.8124992967928648,-0.11023569056129075,0.47353116301531806,0.8159205900099422,20.748302190919837
Y_jucon,Judicial constraints,institutions,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,1258,-0.008769021292036924,0.018556316028488295,0.6365252572489579,0.3525286220007897,1.1262163319978107,0.7542652071192497,24.175302754322992
Y_legcon,Legislative constraints,institutions,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,1229,-0.009316443464590563,0.023623962406554646,0.6933122199140218,0.24816765243145014,0.782975508908452,0.7512780870415711,20.96186887689809
Y_hos_power,HOS,exec_power,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,1258,0.006529447568539189,0.01504792024881089,0.6643535808987147,-1.3188075925126832,7.498827889526384,0.860397255065867,19.3206604376785
Y_hog_power,HOG,exec_power,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,637,-0.0037685150607947664,0.01151661031192367,0.7434982223852846,0.1615463054339795,1.8905945793823695,0.9319057472636982,26.792029966494365
Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,1258,0.0333761819940559,0.028855509222383755,0.24740890867865076,-2.2294495576384254,5.334096444946463,0.6759749089999034,23.043362252191095
Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,1258,-0.02556346473716058,0.029125904845790338,0.3801129174346861,1.5435466371267261,3.3351778266077123,0.6435020700255849,24.81622649830038
