outcome,outcome_label,panel,spec,treatment,n_first_stage,n_first_stage_treated,first_stage_coef,first_stage_pval,n_outcome,n_outcome_treated,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
Y_gdp_growth,PWT,growth,instr-econleft_w1_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1341,511,-0.005433169619936093,0.6645268305232358,1305,494,-0.004315972970236531,0.01212167252145038,0.7217999411094183,1.1644210896022411,3.783081874646646,0.7582368371183557,21.106444656567493
Y_gdp_growth_wb,World Bank,growth,instr-econleft_w1_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1341,511,-0.005433169619936093,0.6645268305232358,1321,507,0.012509234296984924,0.011036806008137076,0.25704181237094254,-2.0448214677228314,4.412013473197023,0.6430298553101175,20.458400301603714
Y_gdp_growth_imf,IMF WEO,growth,instr-econleft_w1_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1341,511,-0.005433169619936093,0.6645268305232358,1021,401,0.0119979126752153,0.011476050412480716,0.2958039371768292,-2.155616367200242,3.832055930491942,0.5737603119147813,20.60374314899716
Y_inflation,"CPI, cumulative log",inflation,instr-econleft_w1_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1341,511,-0.005433169619936093,0.6645268305232358,1217,475,0.006840518014299912,0.12196469345695513,0.9552732561567165,-1.0134142184966906,19.320234467650096,0.9581673335521143,15.665614304554747
Y_unemployment,Unemployment rate,unemployment,instr-econleft_w1_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1341,511,-0.005433169619936093,0.6645268305232358,935,403,0.022983570320783547,0.3189815472023002,0.9425597472327738,-19.11913119530189,32.03030196578378,0.550569062007945,23.344106253038383
Y_trade_pct_gdp,Trade / GDP,trade,instr-econleft_w1_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1341,511,-0.005433169619936093,0.6645268305232358,1189,457,-2.6196794073533782,1.8434194202956884,0.15528830983074626,308.71497113137514,430.24907911087894,0.4730494985961965,18.154913574217566
Y_top10_share,Top-10% income share,top10,instr-econleft_w1_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1341,511,-0.005433169619936093,0.6645268305232358,1235,477,-0.40908857799921416,0.36919160859347355,0.26783341971890334,126.77015033980534,240.4769550345575,0.5980815631504973,19.26297249208022
Y_gini_disp,Disposable,gini,instr-econleft_w1_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1341,511,-0.005433169619936093,0.6645268305232358,1079,421,0.07161594119031359,0.1439420050875363,0.6188130243898586,-15.01372946881638,32.5127287720076,0.6442390598905936,17.601774565207357
Y_gini_mkt,Market,gini,instr-econleft_w1_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1341,511,-0.005433169619936093,0.6645268305232358,1079,421,0.14616561700811023,0.1381456938188074,0.2900307811339041,-27.336659229981244,54.272667924584844,0.6144784709936881,18.294944502726107
Y_debt,Debt / GDP,fiscal,instr-econleft_w1_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1341,511,-0.005433169619936093,0.6645268305232358,1285,503,-2.989881488687965,3.3666779707845356,0.374497381889104,379.4684352808811,766.6702306924109,0.620630807249847,15.575092510725897
Y_deficit,Deficit / GDP,fiscal,instr-econleft_w1_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1341,511,-0.005433169619936093,0.6645268305232358,1137,452,0.5186327315554671,0.828892777071802,0.5315160697229274,-334.3575936364459,823.0337507867257,0.6845588011985557,20.89284931226808
Y_checks_balances,Checks & balances,institutions,instr-econleft_w1_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1341,511,-0.005433169619936093,0.6645268305232358,1317,510,0.008179170915529391,0.011066615687310427,0.4598553155004247,-1.2909471380033013,1.402837361168485,0.3574473240827356,22.674422331175027
Y_jucon,Judicial constraints,institutions,instr-econleft_w1_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1341,511,-0.005433169619936093,0.6645268305232358,1341,511,0.001769105073771534,0.00971456639920905,0.8554975815787547,-0.618740540685462,1.668616596365442,0.7107786863058179,20.83366650281516
Y_legcon,Legislative constraints,institutions,instr-econleft_w1_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1341,511,-0.005433169619936093,0.6645268305232358,1317,510,0.013303212049725822,0.015099317413444141,0.3782922476335909,-1.6509441616457738,2.0436071082694207,0.41917238517715333,23.48700743047765
Y_hos_power,HOS,exec_power,instr-econleft_w1_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1341,511,-0.005433169619936093,0.6645268305232358,1341,511,-0.003863903571228144,0.010170624905999844,0.7040135769566898,-0.5745790526998219,2.000348641004843,0.7739289781510871,17.818199237894635
Y_hog_power,HOG,exec_power,instr-econleft_w1_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1341,511,-0.005433169619936093,0.6645268305232358,701,265,-0.021485597993024082,0.010029560968481899,0.032175206289879126,45.602438167669916,241.313049604224,0.8501114214721496,16.475033706511297
Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-econleft_w1_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1341,511,-0.005433169619936093,0.6645268305232358,1341,511,0.0023198962098964424,0.020734076321964647,0.9109121396353387,-1.1427440810163498,3.406508862281158,0.7372788624952136,16.25967573207576
Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-econleft_w1_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1341,511,-0.005433169619936093,0.6645268305232358,1341,511,-0.007616975892149581,0.019901575080952257,0.70191825201415,2.576915258405284,5.654727483836586,0.6485986067868077,14.714185893561273
