outcome,outcome_label,panel,spec,treatment,n_first_stage,n_first_stage_treated,first_stage_coef,first_stage_pval,n_outcome,n_outcome_treated,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
Y_gdp_growth,PWT,growth,instr-econleft_w2_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1343,55,0.008879237147179586,0.7949492973736851,1293,53,-0.011776517629979784,0.015361260321465184,0.44329709545489415,0.16467925223707852,1.10495357711064,0.8815242329960045,17.101244503953914
Y_gdp_growth_wb,World Bank,growth,instr-econleft_w2_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1343,55,0.008879237147179586,0.7949492973736851,1300,54,0.009454543152971465,0.013181487425641165,0.4732141757858744,2.5799526591801962,16.599463284750524,0.8764871750895014,17.68218930475105
Y_gdp_growth_imf,IMF WEO,growth,instr-econleft_w2_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1343,55,0.008879237147179586,0.7949492973736851,1003,45,0.005215562575971125,0.014654691947784335,0.7219176169169037,-2.4381197557439447,12.66441020822354,0.8473369130142371,17.683305578483246
Y_inflation,"CPI, cumulative log",inflation,instr-econleft_w2_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1343,55,0.008879237147179586,0.7949492973736851,1194,50,0.010685996749287163,0.13087064600563983,0.9349225574988653,1.6182024997040505,18.83861314448581,0.93154736182249,19.879538932714684
Y_unemployment,Unemployment rate,unemployment,instr-econleft_w2_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1343,55,0.008879237147179586,0.7949492973736851,935,47,0.4464400148643969,0.5037902221829128,0.3755299549318918,16.691390707785377,74.14089562505924,0.8218776095266864,16.813389333752887
Y_trade_pct_gdp,Trade / GDP,trade,instr-econleft_w2_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1343,55,0.008879237147179586,0.7949492973736851,1171,49,-3.1429385109907506,2.0429908862302786,0.12395068298994986,-149.4725722002051,333.6460903533464,0.6541550920637862,15.996730032634858
Y_top10_share,Top-10% income share,top10,instr-econleft_w2_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1343,55,0.008879237147179586,0.7949492973736851,1214,49,-0.5789879342558839,0.4567336277729764,0.20491549680892618,-52.116229295514565,172.19909778470483,0.7621558430015792,17.981883207598468
Y_gini_disp,Disposable,gini,instr-econleft_w2_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1343,55,0.008879237147179586,0.7949492973736851,1055,43,0.05262068618467958,0.1923646674663287,0.7844331342671167,2.3501805382657324,7.800575537364987,0.7631987286182924,17.47926917077888
Y_gini_mkt,Market,gini,instr-econleft_w2_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1343,55,0.008879237147179586,0.7949492973736851,1055,43,0.18351282478262904,0.19533485472019124,0.34748531372255204,7.664213391389335,12.48531100024588,0.5393088830172339,18.094299909056254
Y_debt,Debt / GDP,fiscal,instr-econleft_w2_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1343,55,0.008879237147179586,0.7949492973736851,1264,52,-3.0507702187715156,4.412031598600134,0.4892726864394977,-322.71797811597946,5438.865152025981,0.9526848574628364,16.065694978285205
Y_deficit,Deficit / GDP,fiscal,instr-econleft_w2_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1343,55,0.008879237147179586,0.7949492973736851,1117,47,0.8764908629950133,0.8890109701680701,0.32417393542748574,-193.3485556113879,8978.45422089106,0.9828191021771754,15.110458809535428
Y_checks_balances,Checks & balances,institutions,instr-econleft_w2_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1343,55,0.008879237147179586,0.7949492973736851,1314,51,8.834612511305837e-5,0.012628445807284392,0.9944182019437703,-1.3619844256564009,3.5858668362171118,0.7040789349335734,14.70371659752134
Y_jucon,Judicial constraints,institutions,instr-econleft_w2_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1343,55,0.008879237147179586,0.7949492973736851,1341,54,0.006220078871766536,0.015009198218262583,0.6785681568530237,-0.22965351322265087,4.90148498255795,0.9626296984759941,15.072048274615753
Y_legcon,Legislative constraints,institutions,instr-econleft_w2_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1343,55,0.008879237147179586,0.7949492973736851,1314,51,0.010557108418362082,0.01710070896103037,0.5370044437754831,0.3144639949967592,3.849748242214758,0.9348977624572966,15.76806428281143
Y_hos_power,HOS,exec_power,instr-econleft_w2_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1343,55,0.008879237147179586,0.7949492973736851,1341,54,0.0027335610647749226,0.010618931811994142,0.7968519747326916,3.0813089606244732,22.02156367679148,0.8887213415288556,13.959177121903345
Y_hog_power,HOG,exec_power,instr-econleft_w2_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1343,55,0.008879237147179586,0.7949492973736851,696,33,-0.023660411167118367,0.012817542016696768,0.06490094440726268,-1.0040306066681153,2.62198910374891,0.7017738389615276,19.58758790341233
Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-econleft_w2_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1343,55,0.008879237147179586,0.7949492973736851,1341,54,0.001431829429471362,0.020405341161113928,0.9440588730887505,-0.09170771904706582,4.344452985041499,0.9831585841667748,15.42618675248749
Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-econleft_w2_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1343,55,0.008879237147179586,0.7949492973736851,1341,54,-0.004204157731426029,0.019768840628936184,0.8315875879891426,-0.45496510072077473,5.85135959184621,0.9380239439820134,14.898834345030785
