outcome,outcome_label,panel,spec,treatment,n_first_stage,first_stage_coef,first_stage_pval,n_outcome,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
Y_gdp_growth,PWT,growth,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.013676717555742469,590,-0.02749351226016558,0.04174633675856655,0.5101622813452436,-0.1840022628579848,0.3184847535478848,0.5634378005472984,22.042478326044964
Y_gdp_growth_wb,World Bank,growth,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.013676717555742469,614,0.007137124309509302,0.03620535263387293,0.8437266039986939,0.03542347034901166,0.22472307638751302,0.8747470586695687,16.773884863699966
Y_gdp_growth_imf,IMF WEO,growth,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.013676717555742469,461,0.004220917935306184,0.029895735228476522,0.8877214555888042,0.03602268868114742,0.2903177906359686,0.9012517774122291,24.296796854506663
Y_inflation,"CPI, cumulative log",inflation,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.013676717555742469,547,0.018269625302200165,0.18752872660892925,0.9223904202435915,0.05998232933879524,1.1422525395942282,0.9581204800143533,15.313241508724552
Y_unemployment,Unemployment rate,unemployment,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.013676717555742469,439,-0.11932106062353207,0.702436088563614,0.8651143427100635,-2.291087595776875,8.26428763758013,0.7816054439690161,24.488127126384047
Y_trade_pct_gdp,Trade / GDP,trade,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.013676717555742469,542,-2.6327499101951393,3.936110988365726,0.5035778652128976,-31.50681633324003,60.89598935944078,0.604885768158137,24.63113368635714
Y_top10_share,Top-10% income share,top10,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.013676717555742469,578,-1.709965346767547,0.7464674770843247,0.021978266647870438,-9.29244714890268,6.224141642155842,0.13544544366381212,15.46870971973715
Y_gini_disp,Disposable,gini,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.013676717555742469,472,-0.13383163347527782,0.4347615959381691,0.7582134929651829,-2.198981096760515,4.1511625134790675,0.5963015203979275,23.369634159239936
Y_gini_mkt,Market,gini,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.013676717555742469,472,-0.5853090904223052,0.5083685137717995,0.24958908214759742,-2.7512197575228736,3.3530567563013616,0.41192489412831784,18.74569570370354
Y_debt,Debt / GDP,fiscal,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.013676717555742469,585,-6.79182986244839,14.30539187767183,0.6349479801011584,-53.23992158152935,135.5208669874455,0.6944272806198906,23.48166545152125
Y_deficit,Deficit / GDP,fiscal,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.013676717555742469,505,-0.4274245754573568,1.5225045527367511,0.778911515555447,-6.077139468268367,17.648719810090338,0.7305914882466382,23.080392753325313
Y_checks_balances,Checks & balances,institutions,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.013676717555742469,625,0.01166360645553028,0.02264363393531141,0.6064871353774339,0.06739052642784804,0.15677338404931337,0.6672978573256634,18.88809281693642
Y_jucon,Judicial constraints,institutions,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.013676717555742469,640,0.004957267661450538,0.019841120396028814,0.8027047649529884,0.015929749497514425,0.1264805955787741,0.8997745170760626,19.578273673366933
Y_legcon,Legislative constraints,institutions,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.013676717555742469,625,0.026552103288893264,0.02956310229609212,0.36910553221795717,0.13809246161161398,0.21237396484388268,0.5155420279558127,18.44951753003878
Y_hos_power,HOS,exec_power,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.013676717555742469,640,-0.011749649942480806,0.020272503593265295,0.5621941465768026,-0.04486410746129311,0.11441682679130198,0.6949761285798066,17.264863753095206
Y_hog_power,HOG,exec_power,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.013676717555742469,357,-0.0020155736054779157,0.01071484644702799,0.8507901412135308,-8.134215000001749e-4,0.04040622009269616,0.9839387940617855,16.231280659294953
Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.013676717555742469,640,-0.012975112342916753,0.025921379563823163,0.6166833562364453,-0.0775812073584254,0.12878513724272564,0.5469025323652835,15.132283528137435
Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.013676717555742469,640,0.013278767040073396,0.020720801828774754,0.5216251239804492,0.06387104095980684,0.09590614116026974,0.5054274225960526,14.894883367078986
