outcome,outcome_label,panel,spec,treatment,n_first_stage,first_stage_coef,first_stage_pval,n_outcome,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
Y_gdp_growth,PWT,growth,instr-econleft_w5_trt-ert_gapany_illibany,backsliding_Nyr,1343,0.1419302515240805,0.02473401863882598,1203,-0.01312507394997954,0.027117058596219774,0.628374940200094,-0.2819220701735091,0.5021976141464614,0.5745407226073311,24.213268531743925
Y_gdp_growth_wb,World Bank,growth,instr-econleft_w5_trt-ert_gapany_illibany,backsliding_Nyr,1343,0.1419302515240805,0.02473401863882598,1236,0.01235636177059711,0.021441456404978746,0.5644234404148576,0.17811542961803792,0.4764764089954499,0.7085397714657409,22.98558169559121
Y_gdp_growth_imf,IMF WEO,growth,instr-econleft_w5_trt-ert_gapany_illibany,backsliding_Nyr,1343,0.1419302515240805,0.02473401863882598,946,-0.01062188843192137,0.020957060509998942,0.6122666897712199,-0.0440752881652732,0.42239263626592927,0.9168941992546512,20.9758541112009
Y_inflation,"CPI, cumulative log",inflation,instr-econleft_w5_trt-ert_gapany_illibany,backsliding_Nyr,1343,0.1419302515240805,0.02473401863882598,1131,-0.06012447089126083,0.17564499080904217,0.7321200351778989,-0.6490212831826028,3.0471481762186694,0.831332409377363,16.34066202650367
Y_unemployment,Unemployment rate,unemployment,instr-econleft_w5_trt-ert_gapany_illibany,backsliding_Nyr,1343,0.1419302515240805,0.02473401863882598,879,0.34460455206929186,0.5391173541576256,0.5226919401491943,3.0749988790367233,5.935865180614268,0.6044323264125816,21.213389715117867
Y_trade_pct_gdp,Trade / GDP,trade,instr-econleft_w5_trt-ert_gapany_illibany,backsliding_Nyr,1343,0.1419302515240805,0.02473401863882598,1111,-4.539918545932565,3.1235677479373267,0.14610160610933237,-52.03966565113822,57.81978289396623,0.3681031219585439,19.257186243003733
Y_top10_share,Top-10% income share,top10,instr-econleft_w5_trt-ert_gapany_illibany,backsliding_Nyr,1343,0.1419302515240805,0.02473401863882598,1148,-0.9428649653584984,0.6182620116475126,0.12725288597739998,-8.564779758202429,8.593252252917162,0.31891663407618853,19.440783387762746
Y_gini_disp,Disposable,gini,instr-econleft_w5_trt-ert_gapany_illibany,backsliding_Nyr,1343,0.1419302515240805,0.02473401863882598,971,-0.03921069129162352,0.31961407690269267,0.9023594207986985,-1.0213545753473816,5.292729399975536,0.8469800092188661,24.32304682640607
Y_gini_mkt,Market,gini,instr-econleft_w5_trt-ert_gapany_illibany,backsliding_Nyr,1343,0.1419302515240805,0.02473401863882598,971,-0.017353705129038055,0.3224709792687304,0.9570827330475878,-0.44998252373150294,5.70214250402495,0.9371005184104628,24.382845437387957
Y_debt,Debt / GDP,fiscal,instr-econleft_w5_trt-ert_gapany_illibany,backsliding_Nyr,1343,0.1419302515240805,0.02473401863882598,1197,-9.90014183710503,10.930702052977837,0.365084733829026,-81.84806483089447,140.37712116712555,0.5598539621429521,18.413129205585246
Y_deficit,Deficit / GDP,fiscal,instr-econleft_w5_trt-ert_gapany_illibany,backsliding_Nyr,1343,0.1419302515240805,0.02473401863882598,1049,-1.5665980648388544,2.033241562755163,0.44100760100885394,-10.017236862035764,23.50290815090176,0.6699528975967117,16.025372288064478
Y_checks_balances,Checks & balances,institutions,instr-econleft_w5_trt-ert_gapany_illibany,backsliding_Nyr,1343,0.1419302515240805,0.02473401863882598,1255,-0.014992154490403566,0.01666615546196119,0.3683561232822991,-0.11094573660830225,0.11752335584730833,0.3451536094087829,15.062321466826647
Y_jucon,Judicial constraints,institutions,instr-econleft_w5_trt-ert_gapany_illibany,backsliding_Nyr,1343,0.1419302515240805,0.02473401863882598,1285,-0.007102263035140508,0.01976352860516474,0.7193242275410545,-0.009988100340968078,0.278980960803403,0.9714401697762665,23.966849124318838
Y_legcon,Legislative constraints,institutions,instr-econleft_w5_trt-ert_gapany_illibany,backsliding_Nyr,1343,0.1419302515240805,0.02473401863882598,1255,0.009424062496331344,0.021636902971585232,0.6631595850902692,0.014615796548569666,0.177289299008668,0.9342965295519504,16.598583181993813
Y_hos_power,HOS,exec_power,instr-econleft_w5_trt-ert_gapany_illibany,backsliding_Nyr,1343,0.1419302515240805,0.02473401863882598,1285,0.015648855389224788,0.01408904787031324,0.2666929205078174,0.09714701912473178,0.14132683509400104,0.4918353662615696,20.081224964173625
Y_hog_power,HOG,exec_power,instr-econleft_w5_trt-ert_gapany_illibany,backsliding_Nyr,1343,0.1419302515240805,0.02473401863882598,655,-0.030533508877405125,0.013276234733950436,0.021456034809621098,-0.1508587441182329,0.125607086268826,0.22973689220747118,14.146522024000205
Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-econleft_w5_trt-ert_gapany_illibany,backsliding_Nyr,1343,0.1419302515240805,0.02473401863882598,1285,0.009143463335418898,0.02102871268161053,0.6637014236634969,0.1209342176249944,0.2000061589191416,0.5454099366502265,19.292322290844496
Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-econleft_w5_trt-ert_gapany_illibany,backsliding_Nyr,1343,0.1419302515240805,0.02473401863882598,1285,-0.014300454062767441,0.02225476614905098,0.5204970597381571,-0.18368826391928397,0.21645399266166024,0.39609000575451864,19.43474893030054
