outcome,outcome_label,panel,spec,treatment,n_first_stage,first_stage_coef,first_stage_pval,n_outcome,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
Y_gdp_growth,PWT,growth,instr-econleft_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,1285,-0.014052314199867803,0.42849113652493237,1203,-0.01312507394997954,0.027117058596219774,0.628374940200094,1.2200571824992668,2.06680746043288,0.5549828134571242,26.570098482097684
Y_gdp_growth_wb,World Bank,growth,instr-econleft_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,1285,-0.014052314199867803,0.42849113652493237,1236,0.01235636177059711,0.021441456404978746,0.5644234404148576,-2.362186027892672,5.632442654466045,0.6749316627288667,21.74524510562653
Y_gdp_growth_imf,IMF WEO,growth,instr-econleft_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,1285,-0.014052314199867803,0.42849113652493237,946,-0.01062188843192137,0.020957060509998942,0.6122666897712199,0.30053259851170266,7.821639845047493,0.9693502467488385,20.220210892141328
Y_inflation,"CPI, cumulative log",inflation,instr-econleft_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,1285,-0.014052314199867803,0.42849113652493237,1131,-0.06012447089126083,0.17564499080904217,0.7321200351778989,5.924195341528948,16.107447450752044,0.7130281018353799,26.49021265300072
Y_unemployment,Unemployment rate,unemployment,instr-econleft_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,1285,-0.014052314199867803,0.42849113652493237,879,0.34460455206929186,0.5391173541576256,0.5226919401491943,-108.16306378727084,891.5387933725058,0.9034361779900498,17.16227745747709
Y_trade_pct_gdp,Trade / GDP,trade,instr-econleft_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,1285,-0.014052314199867803,0.42849113652493237,1111,-4.539918545932565,3.1235677479373267,0.14610160610933237,1143.870788339679,2463.9074967141237,0.6424681383237854,16.84156626703573
Y_top10_share,Top-10% income share,top10,instr-econleft_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,1285,-0.014052314199867803,0.42849113652493237,1148,-0.9428649653584984,0.6182620116475126,0.12725288597739998,-49.87505304708995,131.61795672824542,0.7047338611487243,16.620330880101903
Y_gini_disp,Disposable,gini,instr-econleft_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,1285,-0.014052314199867803,0.42849113652493237,971,-0.03921069129162352,0.31961407690269267,0.9023594207986985,0.31132168611160704,22.029398152786317,0.9887245898819707,18.50241572228863
Y_gini_mkt,Market,gini,instr-econleft_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,1285,-0.014052314199867803,0.42849113652493237,971,-0.017353705129038055,0.3224709792687304,0.9570827330475878,0.9486968542266792,20.720526614707293,0.9634813243784576,15.174000202808033
Y_debt,Debt / GDP,fiscal,instr-econleft_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,1285,-0.014052314199867803,0.42849113652493237,1197,-9.90014183710503,10.930702052977837,0.365084733829026,1657.6038166558433,3570.7733371148192,0.6424942627255719,15.588080412418254
Y_deficit,Deficit / GDP,fiscal,instr-econleft_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,1285,-0.014052314199867803,0.42849113652493237,1049,-1.5665980648388544,2.033241562755163,0.44100760100885394,570.4701343927477,2504.5645906579953,0.819823356119211,21.652202740287336
Y_checks_balances,Checks & balances,institutions,instr-econleft_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,1285,-0.014052314199867803,0.42849113652493237,1255,-0.014992154490403566,0.01666615546196119,0.3683561232822991,-0.3132292455761828,3.298784192240358,0.9243522092629426,21.453304106419512
Y_jucon,Judicial constraints,institutions,instr-econleft_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,1285,-0.014052314199867803,0.42849113652493237,1285,-0.007102263035140508,0.01976352860516474,0.7193242275410545,4.193032847967031,10.292742039844374,0.6837306550490857,15.520391220173058
Y_legcon,Legislative constraints,institutions,instr-econleft_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,1285,-0.014052314199867803,0.42849113652493237,1255,0.009424062496331344,0.021636902971585232,0.6631595850902692,1.1690232871357182,5.928831544775269,0.8436898113520351,19.516779612071698
Y_hos_power,HOS,exec_power,instr-econleft_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,1285,-0.014052314199867803,0.42849113652493237,1285,0.015648855389224788,0.01408904787031324,0.2666929205078174,-3.958320993799635,7.764323766395596,0.6101853827932049,18.00938373714502
Y_hog_power,HOG,exec_power,instr-econleft_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,1285,-0.014052314199867803,0.42849113652493237,655,-0.030533508877405125,0.013276234733950436,0.021456034809621098,-1.0741795085074832,2.9477708405882153,0.7155563430993837,18.29940758808153
Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-econleft_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,1285,-0.014052314199867803,0.42849113652493237,1285,0.009143463335418898,0.02102871268161053,0.6637014236634969,-1.6291567334324428,4.836339957659775,0.7362244267261691,15.709772799745341
Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-econleft_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,1285,-0.014052314199867803,0.42849113652493237,1285,-0.014300454062767441,0.02225476614905098,0.5204970597381571,3.082079673668284,7.733330534550059,0.6902285462879623,15.371988389897158
