outcome,outcome_label,panel,spec,treatment,n_first_stage,n_first_stage_treated,first_stage_coef,first_stage_pval,n_outcome,n_outcome_treated,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
Y_gdp_growth,PWT,growth,instr-popul_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,129,-0.005640980730479056,0.9236964069201906,1243,121,0.03676199577660323,0.020748245357585352,0.07642572452415741,-11.577127838470721,43.555482460749474,0.7903918179588919,19.649550200639844
Y_gdp_growth_wb,World Bank,growth,instr-popul_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,129,-0.005640980730479056,0.9236964069201906,1269,127,0.03148718046435732,0.020973998380772473,0.13329133857900774,-1.939833084839482,4.474246649549339,0.6646114433674157,20.217856104701742
Y_gdp_growth_imf,IMF WEO,growth,instr-popul_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,129,-0.005640980730479056,0.9236964069201906,976,104,0.01586252300764089,0.02105292028201457,0.45117383348154105,-1.1556942196001039,8.457982910851399,0.8913157842541629,22.44806816760688
Y_inflation,"CPI, cumulative log",inflation,instr-popul_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,129,-0.005640980730479056,0.9236964069201906,1162,113,0.3922927109870623,0.1704226927498394,0.021341899673614145,-10.990845802173165,26.261484171493507,0.6755700441249033,21.745899547761628
Y_unemployment,Unemployment rate,unemployment,instr-popul_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,129,-0.005640980730479056,0.9236964069201906,905,107,-0.4850652817957278,0.5142876153439142,0.34558934987126294,12.211930337048361,23.54998740672692,0.6040720853179058,16.47396192256454
Y_trade_pct_gdp,Trade / GDP,trade,instr-popul_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,129,-0.005640980730479056,0.9236964069201906,1140,116,-2.5354433357749047,2.8243604386324974,0.36934268296400635,81.64025920101221,147.45737166749092,0.5798161470290688,15.607888216120582
Y_top10_share,Top-10% income share,top10,instr-popul_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,129,-0.005640980730479056,0.9236964069201906,1184,116,0.23657561859214876,0.5653289007062865,0.6756003696008819,-6.133893628591575,30.396417723766366,0.8400757427712593,21.795385108013726
Y_gini_disp,Disposable,gini,instr-popul_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,129,-0.005640980730479056,0.9236964069201906,1010,97,0.279903423332871,0.2654736644968579,0.2917205238174578,-172.75082334933754,1088.7682927478934,0.8739318000421589,18.179969185811057
Y_gini_mkt,Market,gini,instr-popul_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,129,-0.005640980730479056,0.9236964069201906,1010,97,0.4038569710132747,0.30439781318165793,0.18459446905711607,-204.8028320275594,1142.2985943325718,0.857709918021915,18.37389560477825
Y_debt,Debt / GDP,fiscal,instr-popul_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,129,-0.005640980730479056,0.9236964069201906,1232,122,-2.230042502333713,9.04855542749216,0.8053316795739267,95.05125922629179,566.1260353660936,0.8666637596085315,19.16734756391171
Y_deficit,Deficit / GDP,fiscal,instr-popul_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,129,-0.005640980730479056,0.9236964069201906,1086,105,0.0034199101528233217,1.1148589424444881,0.9975524354455162,-4.882834179486592,33.428282634388125,0.8838669569666407,17.99306265208857
Y_checks_balances,Checks & balances,institutions,instr-popul_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,129,-0.005640980730479056,0.9236964069201906,1283,117,0.011439037233325402,0.015534869738404022,0.4615202352692504,-0.25557237334066035,0.4695227826379342,0.586218747976021,18.354502747125366
Y_jucon,Judicial constraints,institutions,instr-popul_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,129,-0.005640980730479056,0.9236964069201906,1312,127,0.003626380414316493,0.016108367529941305,0.8218827972099909,0.4314423295565503,1.269493095271226,0.7339664657706182,18.208039163082674
Y_legcon,Legislative constraints,institutions,instr-popul_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,129,-0.005640980730479056,0.9236964069201906,1283,117,0.016414420450866562,0.020188466583405406,0.4161840615394145,-0.29717472107202764,0.5399828880860374,0.5820855097594612,19.937406363131114
Y_hos_power,HOS,exec_power,instr-popul_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,129,-0.005640980730479056,0.9236964069201906,1312,127,0.007469235111947378,0.013971444575390709,0.5929214915807626,-0.4737481786707791,1.338723791261585,0.7234284783054183,18.340927772414943
Y_hog_power,HOG,exec_power,instr-popul_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,129,-0.005640980730479056,0.9236964069201906,672,79,-0.01893476807541388,0.012337353181711627,0.1248449445263061,0.1698944107528666,0.183880298309885,0.35551741987237984,23.185474723265376
Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-popul_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,129,-0.005640980730479056,0.9236964069201906,1312,127,-0.009544609872482705,0.02008787386120309,0.634685149932054,0.9238282390814293,2.715822187591365,0.7337321120440348,16.02148241756352
Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-popul_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,129,-0.005640980730479056,0.9236964069201906,1312,127,0.01607638593209661,0.019721049495462065,0.4149640371657508,-1.499897814586722,4.192258632214204,0.7205094725404763,15.527045758071058
