outcome,outcome_label,panel,spec,treatment,n_first_stage,first_stage_coef,first_stage_pval,n_outcome,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
Y_gdp_growth,PWT,growth,instr-popul_w5_trt-ertOrDdcg_gapany_illib0p508,backsliding_union_Nyr,672,-0.13771266467258955,0.15710125893047364,594,0.11774006101053772,0.05732524794975294,0.039985820123704975,-0.5829048867165788,0.3829609003063495,0.1279839603556932,25.729695534964947
Y_gdp_growth_wb,World Bank,growth,instr-popul_w5_trt-ertOrDdcg_gapany_illib0p508,backsliding_union_Nyr,672,-0.13771266467258955,0.15710125893047364,618,0.11741217730598812,0.04738518199363984,0.013218604948349243,-0.8420692640945022,0.5835169676654862,0.1489942688550053,21.229380581313457
Y_gdp_growth_imf,IMF WEO,growth,instr-popul_w5_trt-ertOrDdcg_gapany_illib0p508,backsliding_union_Nyr,672,-0.13771266467258955,0.15710125893047364,479,0.09744441150616068,0.04098948527874737,0.017439772902009702,-0.8869258009353165,1.1646575645666133,0.44633845214261714,26.397301536649177
Y_inflation,"CPI, cumulative log",inflation,instr-popul_w5_trt-ertOrDdcg_gapany_illib0p508,backsliding_union_Nyr,672,-0.13771266467258955,0.15710125893047364,560,0.09784416674986723,0.151802018893946,0.5192180964321331,0.15127110994492002,0.7834652261119682,0.8468966713913059,23.053348770467764
Y_unemployment,Unemployment rate,unemployment,instr-popul_w5_trt-ertOrDdcg_gapany_illib0p508,backsliding_union_Nyr,672,-0.13771266467258955,0.15710125893047364,482,-1.233747273507912,0.7123345400175798,0.0832775991571796,6.17862084575597,4.956381610450526,0.21254453257555536,24.23686935634128
Y_trade_pct_gdp,Trade / GDP,trade,instr-popul_w5_trt-ertOrDdcg_gapany_illib0p508,backsliding_union_Nyr,672,-0.13771266467258955,0.15710125893047364,545,-3.727895992942659,5.344400898905208,0.4854692947532805,48.33459802088079,68.09093488631437,0.47779490137025804,17.988923609870916
Y_top10_share,Top-10% income share,top10,instr-popul_w5_trt-ertOrDdcg_gapany_illib0p508,backsliding_union_Nyr,672,-0.13771266467258955,0.15710125893047364,578,0.43528867003161786,1.0554447022518822,0.6800301025442617,-4.013157148924777,7.126496751081601,0.5733451192466985,25.865744774891315
Y_gini_disp,Disposable,gini,instr-popul_w5_trt-ertOrDdcg_gapany_illib0p508,backsliding_union_Nyr,672,-0.13771266467258955,0.15710125893047364,482,0.2556745886287431,0.5148291686070919,0.6194568728504265,-1.0160847983129646,4.167501915430564,0.8073768309963427,20.87636358839182
Y_gini_mkt,Market,gini,instr-popul_w5_trt-ertOrDdcg_gapany_illib0p508,backsliding_union_Nyr,672,-0.13771266467258955,0.15710125893047364,482,0.30168250516353834,0.4683461074014072,0.5194818249207737,-0.9407955212636403,3.254888524998269,0.772550170069578,24.242090990093597
Y_debt,Debt / GDP,fiscal,instr-popul_w5_trt-ertOrDdcg_gapany_illib0p508,backsliding_union_Nyr,672,-0.13771266467258955,0.15710125893047364,593,-14.266298415141243,28.11994021239802,0.6119180745587186,56.35693639298223,141.49981823963552,0.6904217762284619,31.39456216559895
Y_deficit,Deficit / GDP,fiscal,instr-popul_w5_trt-ertOrDdcg_gapany_illib0p508,backsliding_union_Nyr,672,-0.13771266467258955,0.15710125893047364,512,-0.5620257567478523,2.326518098884779,0.8091104458117931,-3.34710434264952,15.913021189056208,0.8334043059733306,34.27937148220941
Y_checks_balances,Checks & balances,institutions,instr-popul_w5_trt-ertOrDdcg_gapany_illib0p508,backsliding_union_Nyr,672,-0.13771266467258955,0.15710125893047364,627,0.05639847322801403,0.029556187777521593,0.056368188067471334,-0.3276290593235796,0.19070038204387552,0.08579106502836331,25.756070711395772
Y_jucon,Judicial constraints,institutions,instr-popul_w5_trt-ertOrDdcg_gapany_illib0p508,backsliding_union_Nyr,672,-0.13771266467258955,0.15710125893047364,641,0.031314661281249656,0.028570417138957176,0.2730560427357012,-0.1820101351149086,0.18968463623744714,0.3372864091854074,22.014414984942007
Y_legcon,Legislative constraints,institutions,instr-popul_w5_trt-ertOrDdcg_gapany_illib0p508,backsliding_union_Nyr,672,-0.13771266467258955,0.15710125893047364,627,0.06630410441617972,0.03822553247816322,0.0828205095189176,-0.40195166058863613,0.28174988155119685,0.15368777281311494,22.27894448035698
Y_hos_power,HOS,exec_power,instr-popul_w5_trt-ertOrDdcg_gapany_illib0p508,backsliding_union_Nyr,672,-0.13771266467258955,0.15710125893047364,641,0.005669030907318453,0.021669801647237082,0.7936223435655544,-0.03475039387500964,0.13012320600412247,0.7894247961632046,23.2703449452776
Y_hog_power,HOG,exec_power,instr-popul_w5_trt-ertOrDdcg_gapany_illib0p508,backsliding_union_Nyr,672,-0.13771266467258955,0.15710125893047364,279,-0.020650920825957653,0.02457825172609535,0.4007900151689893,0.05702977642440007,0.06798381863420783,0.40154069168597467,13.810236073242628
Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-popul_w5_trt-ertOrDdcg_gapany_illib0p508,backsliding_union_Nyr,672,-0.13771266467258955,0.15710125893047364,641,-0.027782090231045983,0.034817411551150916,0.4249072287211019,0.1523976024047097,0.23341721139868846,0.5138221159879485,22.660854099228576
Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-popul_w5_trt-ertOrDdcg_gapany_illib0p508,backsliding_union_Nyr,672,-0.13771266467258955,0.15710125893047364,641,0.02073289184520811,0.037783380359112946,0.5831904363865268,-0.11180361403995595,0.23180078483246339,0.6295741696598924,23.049495357187876
