outcome,outcome_label,panel,spec,treatment,n_first_stage,first_stage_coef,first_stage_pval,n_outcome,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
Y_gdp_growth,PWT,growth,instr-popul_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.043166762475096015,0.5323356890109897,1207,0.03270788540697203,0.02523461768680873,0.19492332451731387,-3.3611219355558144,5.247258203381725,0.5218162465037666,27.56155138570794
Y_gdp_growth_wb,World Bank,growth,instr-popul_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.043166762475096015,0.5323356890109897,1240,0.03026937036076996,0.021666457756897683,0.16239512814528834,-9.116181690731015,19.55037431379682,0.6410065573220283,26.402887994430543
Y_gdp_growth_imf,IMF WEO,growth,instr-popul_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.043166762475096015,0.5323356890109897,950,0.02116531881739102,0.020494505921581727,0.3017296370303399,-23.98442174604989,134.97037861475536,0.8589575060295673,26.69373168671583
Y_inflation,"CPI, cumulative log",inflation,instr-popul_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.043166762475096015,0.5323356890109897,1135,0.45149720287872,0.18976759928605905,0.017349730929313734,-16.578292512642,180.03005652630847,0.9266295141783283,21.4346485900813
Y_unemployment,Unemployment rate,unemployment,instr-popul_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.043166762475096015,0.5323356890109897,883,-0.3967991716826862,0.5217963771132651,0.44698665722290026,75.22481981649604,301.3160044556205,0.8028547444960039,25.450732863267607
Y_trade_pct_gdp,Trade / GDP,trade,instr-popul_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.043166762475096015,0.5323356890109897,1115,-3.431066837896491,3.2704980435653455,0.29413387748961906,-169.19404190814015,1823.3367452489786,0.926067508822779,22.103092878658945
Y_top10_share,Top-10% income share,top10,instr-popul_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.043166762475096015,0.5323356890109897,1152,0.16448192658289626,0.5961119569564158,0.78260601342391245,-36.01342144791687,273.2829386616767,0.8951577395670411,22.823229312526372
Y_gini_disp,Disposable,gini,instr-popul_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.043166762475096015,0.5323356890109897,975,0.3519513549879123,0.3265772712156424,0.28116898469927354,0.8888595359240199,35.134217368852134,0.9798164949287673,17.41125889920921
Y_gini_mkt,Market,gini,instr-popul_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.043166762475096015,0.5323356890109897,975,0.5112588108385471,0.3149957419649404,0.10457534302447109,1.9497541698599647,37.90123462541733,0.9589725009478637,17.605935809649736
Y_debt,Debt / GDP,fiscal,instr-popul_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.043166762475096015,0.5323356890109897,1201,-1.2395471031495635,13.039805117041047,0.924268191105591,-14422.6760374477,44526.66554272139,0.746005428124089,25.989046579868475
Y_deficit,Deficit / GDP,fiscal,instr-popul_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.043166762475096015,0.5323356890109897,1053,0.9788430948667662,2.0173673361253224,0.6275286937384379,-54.770843265207695,142.7269111135528,0.7011669121498008,26.339435002864043
Y_checks_balances,Checks & balances,institutions,instr-popul_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.043166762475096015,0.5323356890109897,1259,0.016237234368034096,0.016698204231139324,0.33085455300369165,-0.9311756408631975,1.5666128304418743,0.5522527292381549,23.063018829080484
Y_jucon,Judicial constraints,institutions,instr-popul_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.043166762475096015,0.5323356890109897,1289,-0.013433638891073702,0.019726323986834937,0.4958710972985628,-0.19107814915818735,1.2775654733809925,0.8811083983572914,25.696855445643628
Y_legcon,Legislative constraints,institutions,instr-popul_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.043166762475096015,0.5323356890109897,1259,0.02410520681247433,0.021757816702886096,0.26791053051577873,-0.9457546885052968,1.120725498912093,0.39873803382776735,25.483583828796014
Y_hos_power,HOS,exec_power,instr-popul_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.043166762475096015,0.5323356890109897,1289,0.010003027592995123,0.013783111072482965,0.46799494728614427,-1.271322059568289,3.485551484778533,0.7153050661570498,25.49706164537876
Y_hog_power,HOG,exec_power,instr-popul_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.043166762475096015,0.5323356890109897,659,-0.01899495918172831,0.012475536649830478,0.12786468772534712,0.25615379960958007,0.25747776767041186,0.31980536534477616,18.266806744750728
Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-popul_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.043166762475096015,0.5323356890109897,1289,-0.011445568027286501,0.02042521059122644,0.5752306701870005,1.6492867475611535,4.344322130958867,0.7042112468822757,24.63429329452559
Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-popul_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.043166762475096015,0.5323356890109897,1289,0.016699252677546635,0.02001912935877316,0.4041881338398786,-2.9812986816788047,8.324886632347637,0.7202543861291915,24.337855689552025
