outcome,outcome_label,panel,spec,treatment,n_first_stage,first_stage_coef,first_stage_pval,n_outcome,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
Y_gdp_growth,PWT,growth,instr-popul_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,0.01845915545163454,0.7663265605259844,1207,0.03270788540697203,0.02523461768680873,0.19492332451731387,-1.4376288247106397,2.370667237896691,0.5442334270822219,27.00895477405478
Y_gdp_growth_wb,World Bank,growth,instr-popul_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,0.01845915545163454,0.7663265605259844,1240,0.03026937036076996,0.021666457756897683,0.16239512814528834,-8.065666605708122,24.6007596535671,0.743015627193184,23.46192671095239
Y_gdp_growth_imf,IMF WEO,growth,instr-popul_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,0.01845915545163454,0.7663265605259844,950,0.02116531881739102,0.020494505921581727,0.3017296370303399,0.21406116603007797,1.237470847677039,0.8626649513061444,22.454740901348394
Y_inflation,"CPI, cumulative log",inflation,instr-popul_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,0.01845915545163454,0.7663265605259844,1135,0.45149720287872,0.18976759928605905,0.017349730929313734,-74.34557688344037,170.12378650225003,0.6621050296355181,22.619929139243943
Y_unemployment,Unemployment rate,unemployment,instr-popul_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,0.01845915545163454,0.7663265605259844,883,-0.3967991716826862,0.5217963771132651,0.44698665722290026,-2.8623233590746935,992.1833957445391,0.9976982073493603,25.216196122440955
Y_trade_pct_gdp,Trade / GDP,trade,instr-popul_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,0.01845915545163454,0.7663265605259844,1115,-3.431066837896491,3.2704980435653455,0.29413387748961906,294006.0720731403,2954099.242265424,0.9207216153494103,19.633553190785037
Y_top10_share,Top-10% income share,top10,instr-popul_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,0.01845915545163454,0.7663265605259844,1152,0.16448192658289626,0.5961119569564158,0.78260601342391245,-0.0027605487672204276,47.164198804808024,0.9999532993394298,22.39469516423583
Y_gini_disp,Disposable,gini,instr-popul_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,0.01845915545163454,0.7663265605259844,975,0.3519513549879123,0.3265772712156424,0.28116898469927354,2.0308782544139756,18.27670232390433,0.9115224434779778,17.908231463891997
Y_gini_mkt,Market,gini,instr-popul_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,0.01845915545163454,0.7663265605259844,975,0.5112588108385471,0.3149957419649404,0.10457534302447109,3.163328863338452,19.548047326673615,0.8714450308610531,17.99387616958603
Y_debt,Debt / GDP,fiscal,instr-popul_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,0.01845915545163454,0.7663265605259844,1201,-1.2395471031495635,13.039805117041047,0.924268191105591,-22.265342162639424,1009.7851587991067,0.9824084032345242,24.304534544783735
Y_deficit,Deficit / GDP,fiscal,instr-popul_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,0.01845915545163454,0.7663265605259844,1053,0.9788430948667662,2.0173673361253224,0.6275286937384379,-5075.685448267091,12187.666146691177,0.6770728308670091,23.154126872968284
Y_checks_balances,Checks & balances,institutions,instr-popul_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,0.01845915545163454,0.7663265605259844,1259,0.016237234368034096,0.016698204231139324,0.33085455300369165,-2.165577348283732,5.705540981506984,0.7042743723463322,24.603170966953012
Y_jucon,Judicial constraints,institutions,instr-popul_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,0.01845915545163454,0.7663265605259844,1289,-0.013433638891073702,0.019726323986834937,0.4958710972985628,-0.009036449301848114,0.8279992092499157,0.9912923826772352,24.564510163155166
Y_legcon,Legislative constraints,institutions,instr-popul_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,0.01845915545163454,0.7663265605259844,1259,0.02410520681247433,0.021757816702886096,0.26791053051577873,-2.215354343601012,4.988810348827396,0.6569958400467057,25.170128219726006
Y_hos_power,HOS,exec_power,instr-popul_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,0.01845915545163454,0.7663265605259844,1289,0.010003027592995123,0.013783111072482965,0.46799494728614427,-0.591286802201755,2.728199565265665,0.8284175927906446,22.611672634238374
Y_hog_power,HOG,exec_power,instr-popul_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,0.01845915545163454,0.7663265605259844,659,-0.01899495918172831,0.012475536649830478,0.12786468772534712,0.4936012899397226,0.5715873081068773,0.3878283437649769,18.442692692530333
Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-popul_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,0.01845915545163454,0.7663265605259844,1289,-0.011445568027286501,0.02042521059122644,0.5752306701870005,0.3189783521528324,1.2747367168780823,0.8024088898034293,23.842947853507187
Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-popul_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,0.01845915545163454,0.7663265605259844,1289,0.016699252677546635,0.02001912935877316,0.4041881338398786,-0.661133905824269,1.5439813785023753,0.6685050072923704,24.371054261488727
