outcome,outcome_label,panel,spec,treatment,n_first_stage,first_stage_coef,first_stage_pval,n_outcome,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
Y_gdp_growth,PWT,growth,instr-popul_w5_trt-polyarchy_gapany_illib0p508,polyarchy_decline,641,-0.03811821119116947,0.11442140210856055,594,0.11774006101053772,0.05732524794975294,0.039985820123704975,-6.303499246004511,6.956449716470069,0.36486313284680083,18.991271159163144
Y_gdp_growth_wb,World Bank,growth,instr-popul_w5_trt-polyarchy_gapany_illib0p508,polyarchy_decline,641,-0.03811821119116947,0.11442140210856055,618,0.11741217730598812,0.04738518199363984,0.013218604948349243,-4.080034486510178,3.2877128747914153,0.21460768052020077,19.377785323953184
Y_gdp_growth_imf,IMF WEO,growth,instr-popul_w5_trt-polyarchy_gapany_illib0p508,polyarchy_decline,641,-0.03811821119116947,0.11442140210856055,479,0.09744441150616068,0.04098948527874737,0.017439772902009702,-3.776911823941314,3.955950459210826,0.33970821398457846,19.155803512184107
Y_inflation,"CPI, cumulative log",inflation,instr-popul_w5_trt-polyarchy_gapany_illib0p508,polyarchy_decline,641,-0.03811821119116947,0.11442140210856055,560,0.09784416674986723,0.151802018893946,0.5192180964321331,-0.10914070755293659,6.385404304336273,0.9863630489967092,20.33459900114654
Y_unemployment,Unemployment rate,unemployment,instr-popul_w5_trt-polyarchy_gapany_illib0p508,polyarchy_decline,641,-0.03811821119116947,0.11442140210856055,482,-1.233747273507912,0.7123345400175798,0.0832775991571796,39.01077365724296,24.732060052601295,0.11471818675709783,21.9867608213481
Y_trade_pct_gdp,Trade / GDP,trade,instr-popul_w5_trt-polyarchy_gapany_illib0p508,polyarchy_decline,641,-0.03811821119116947,0.11442140210856055,545,-3.727895992942659,5.344400898905208,0.4854692947532805,86.56767319445692,169.09036384487356,0.6086782987768313,20.945516537915058
Y_top10_share,Top-10% income share,top10,instr-popul_w5_trt-polyarchy_gapany_illib0p508,polyarchy_decline,641,-0.03811821119116947,0.11442140210856055,578,0.43528867003161786,1.0554447022518822,0.6800301025442617,-18.000735064536823,33.259760654986096,0.5883582869457236,25.89688611034981
Y_gini_disp,Disposable,gini,instr-popul_w5_trt-polyarchy_gapany_illib0p508,polyarchy_decline,641,-0.03811821119116947,0.11442140210856055,482,0.2556745886287431,0.5148291686070919,0.6194568728504265,-7.43160255431596,15.806376354912466,0.6382372455547158,25.11766213432912
Y_gini_mkt,Market,gini,instr-popul_w5_trt-polyarchy_gapany_illib0p508,polyarchy_decline,641,-0.03811821119116947,0.11442140210856055,482,0.30168250516353834,0.4683461074014072,0.5194818249207737,-6.096514761099993,14.984084209385315,0.6841063914913126,25.20391681844171
Y_debt,Debt / GDP,fiscal,instr-popul_w5_trt-polyarchy_gapany_illib0p508,polyarchy_decline,641,-0.03811821119116947,0.11442140210856055,593,-14.266298415141243,28.11994021239802,0.6119180745587186,284.60249637415285,650.1854327019297,0.6615855577685199,25.324302968714463
Y_deficit,Deficit / GDP,fiscal,instr-popul_w5_trt-polyarchy_gapany_illib0p508,polyarchy_decline,641,-0.03811821119116947,0.11442140210856055,512,-0.5620257567478523,2.326518098884779,0.8091104458117931,1.5929092566619865,82.58139509693754,0.9846105906466661,23.56979656102387
Y_checks_balances,Checks & balances,institutions,instr-popul_w5_trt-polyarchy_gapany_illib0p508,polyarchy_decline,641,-0.03811821119116947,0.11442140210856055,627,0.05639847322801403,0.029556187777521593,0.056368188067471334,-1.4336884314318994,0.6577724625638524,0.029286270768659584,23.584709967938842
Y_jucon,Judicial constraints,institutions,instr-popul_w5_trt-polyarchy_gapany_illib0p508,polyarchy_decline,641,-0.03811821119116947,0.11442140210856055,641,0.031314661281249656,0.028570417138957176,0.2730560427357012,-0.8322072254236612,0.6818260513273753,0.22225398129870522,19.572600165850652
Y_legcon,Legislative constraints,institutions,instr-popul_w5_trt-polyarchy_gapany_illib0p508,polyarchy_decline,641,-0.03811821119116947,0.11442140210856055,627,0.06630410441617972,0.03822553247816322,0.0828205095189176,-1.8417031777370645,0.9680501686581177,0.057107474091202745,22.19935560555036
Y_hos_power,HOS,exec_power,instr-popul_w5_trt-polyarchy_gapany_illib0p508,polyarchy_decline,641,-0.03811821119116947,0.11442140210856055,641,0.005669030907318453,0.021669801647237082,0.7936223435655544,-0.14143689996355419,0.6774139377528235,0.834612588527782,23.137306991772164
Y_hog_power,HOG,exec_power,instr-popul_w5_trt-polyarchy_gapany_illib0p508,polyarchy_decline,641,-0.03811821119116947,0.11442140210856055,279,-0.020650920825957653,0.02457825172609535,0.4007900151689893,0.333735827565239,0.521042062672175,0.5218371284744376,24.56466971609061
Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-popul_w5_trt-polyarchy_gapany_illib0p508,polyarchy_decline,641,-0.03811821119116947,0.11442140210856055,641,-0.027782090231045983,0.034817411551150916,0.4249072287211019,0.7914638646936506,1.0056780922160478,0.4312846566133734,21.96283445674641
Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-popul_w5_trt-polyarchy_gapany_illib0p508,polyarchy_decline,641,-0.03811821119116947,0.11442140210856055,641,0.02073289184520811,0.037783380359112946,0.5831904363865268,-0.6316704338708026,1.0207282431586233,0.5360198526023247,21.621262239630052
