outcome,outcome_label,panel,spec,treatment,n_first_stage,n_first_stage_treated,first_stage_coef,first_stage_pval,n_outcome,n_outcome_treated,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
Y_gdp_growth,PWT,growth,instr-popul_w6_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,164,0.01707439604525368,0.7591335848654681,1179,146,0.012658155315610625,0.02864198168380396,0.6585296448273144,0.05340402232417685,1.610323189252396,0.9735441705951524,17.638818595558778
Y_gdp_growth_wb,World Bank,growth,instr-popul_w6_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,164,0.01707439604525368,0.7591335848654681,1204,151,0.004900131071642694,0.024032822774591806,0.8384368962831741,-0.24106179734004562,2.1164877246110545,0.9093193707198797,19.24733081501459
Y_gdp_growth_imf,IMF WEO,growth,instr-popul_w6_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,164,0.01707439604525368,0.7591335848654681,919,119,0.0024725167317245778,0.02331751056807326,0.9155530685975307,-0.18501238605819348,1.3916240237172481,0.8942352126357136,22.867930188866907
Y_inflation,"CPI, cumulative log",inflation,instr-popul_w6_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,164,0.01707439604525368,0.7591335848654681,1097,135,0.5438022301703279,0.22155134952650693,0.014107279608189967,-6.839139178528358,6.840129061728489,0.31738054750236383,27.227975339589534
Y_unemployment,Unemployment rate,unemployment,instr-popul_w6_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,164,0.01707439604525368,0.7591335848654681,854,134,0.10992000750519776,0.5861321053951433,0.8512415547542835,1.0787216628136433,19.197134626554156,0.9551890087933887,21.80887384042234
Y_trade_pct_gdp,Trade / GDP,trade,instr-popul_w6_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,164,0.01707439604525368,0.7591335848654681,1082,137,-3.5979061469051343,3.22003947948151,0.26384536381161533,164.00627468132484,333.50679112689147,0.6228869497031388,22.285488043302134
Y_top10_share,Top-10% income share,top10,instr-popul_w6_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,164,0.01707439604525368,0.7591335848654681,1116,142,0.14447779411322437,0.646920011855013,0.8232772993403054,-3.860652196938072,23.951152385971852,0.8719448768426385,20.337333768612194
Y_gini_disp,Disposable,gini,instr-popul_w6_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,164,0.01707439604525368,0.7591335848654681,946,121,0.4809467076521052,0.3866045379851027,0.2134894126633654,2.480851323981909,11.590428893725631,0.8305134474537813,18.93377487373277
Y_gini_mkt,Market,gini,instr-popul_w6_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,164,0.01707439604525368,0.7591335848654681,946,121,0.6108876730371227,0.3870793267490568,0.11452021637680697,2.8660230323620857,12.847158742450885,0.8234684665318336,19.32065855756397
Y_debt,Debt / GDP,fiscal,instr-popul_w6_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,164,0.01707439604525368,0.7591335848654681,1165,146,-1.0824016940298917,14.634417133246021,0.9410400275099137,-337.05477329102985,1180.0785068874022,0.7751686966009765,20.089196998373215
Y_deficit,Deficit / GDP,fiscal,instr-popul_w6_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,164,0.01707439604525368,0.7591335848654681,1017,128,0.6693020187940839,1.1904624746436172,0.5739660184476847,-165.38389494306904,576.1525073493845,0.7740749426653729,19.37405067012865
Y_checks_balances,Checks & balances,institutions,instr-popul_w6_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,164,0.01707439604525368,0.7591335848654681,1229,154,0.003946821025800958,0.019418770557184616,0.8389414085291927,-0.053150102362234886,0.5312476536879871,0.9203064615230342,15.909858355425992
Y_jucon,Judicial constraints,institutions,instr-popul_w6_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,164,0.01707439604525368,0.7591335848654681,1258,156,-0.010578690742124053,0.021626285474317983,0.6247291807560146,-0.10099708351018111,3.1728734999861383,0.9746064861388907,20.301493789737997
Y_legcon,Legislative constraints,institutions,instr-popul_w6_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,164,0.01707439604525368,0.7591335848654681,1229,154,0.0062797014258427625,0.02482442151964997,0.8002955200301589,-0.07830597825690781,0.7271608155107313,0.914243751290845,16.498221815622948
Y_hos_power,HOS,exec_power,instr-popul_w6_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,164,0.01707439604525368,0.7591335848654681,1258,156,0.014746189956354249,0.01571330025987164,0.34801178442029473,0.15145937026610506,1.358737057484571,0.9112430991641166,17.941122436111534
Y_hog_power,HOG,exec_power,instr-popul_w6_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,164,0.01707439604525368,0.7591335848654681,637,88,-0.01886664235004995,0.011953242252619612,0.11448056820900404,1.0451295850657907,1.6965159233456069,0.5378650408702085,18.35066576262984
Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-popul_w6_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,164,0.01707439604525368,0.7591335848654681,1258,156,-0.026358211416099533,0.028245285726229093,0.35072200070886256,-0.10365562957619268,2.0279119949423667,0.9592343124519135,16.398104776376204
Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-popul_w6_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,164,0.01707439604525368,0.7591335848654681,1258,156,0.03154969168032604,0.028266415246301493,0.2643559295699192,0.28579220602940647,1.857946217887298,0.8777504250750691,15.566613732381407
